# Integration weights for the "Symmetric family 2, k=10" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
4.896295249209151740e-03 4.951734598011704458e-01 9.653080397659054637e-03 4.951734598011705013e-01
4.896295249209151740e-03 4.951734598011704458e-01 4.951734598011705568e-01 9.653080397658997391e-03
4.896295249209151740e-03 9.653080397658969636e-03 4.951734598011707233e-01 4.951734598011702793e-01
3.192679615059327604e-03 1.913941524284110129e-02 1.913941524284141008e-02 9.617211695143174088e-01
3.192679615059327604e-03 9.617211695143175199e-01 1.913941524284109089e-02 1.913941524284138926e-02
3.192679615059327604e-03 1.913941524284157314e-02 9.617211695143175199e-01 1.913941524284090701e-02
1.448114073162817123e-02 1.337347551008691293e-01 3.472362048232749410e-02 8.315416244168033488e-01
1.448114073162817123e-02 8.315416244168033488e-01 1.337347551008691293e-01 3.472362048232752185e-02
1.448114073162817123e-02 3.472362048232746634e-02 8.315416244168036819e-01 1.337347551008688518e-01
1.448114073162817123e-02 8.315416244168033488e-01 3.472362048232749410e-02 1.337347551008691571e-01
1.448114073162817123e-02 1.337347551008691848e-01 8.315416244168034599e-01 3.472362048232735532e-02
1.448114073162817123e-02 3.472362048232728593e-02 1.337347551008694346e-01 8.315416244168033488e-01
4.180743718698696348e-02 3.333333333333332593e-01 3.333333333333334259e-01 3.333333333333333148e-01
1.936952454300945245e-02 3.266931362813368933e-01 3.758272734119170316e-02 6.357241363774713827e-01
1.936952454300945245e-02 6.357241363774714937e-01 3.266931362813368933e-01 3.758272734119161296e-02
1.936952454300945245e-02 3.758272734119172398e-02 6.357241363774714937e-01 3.266931362813367823e-01
1.936952454300945245e-02 6.357241363774713827e-01 3.758272734119170316e-02 3.266931362813368933e-01
1.936952454300945245e-02 3.266931362813368933e-01 6.357241363774714937e-01 3.758272734119161296e-02
1.936952454300945245e-02 3.758272734119158520e-02 3.266931362813371709e-01 6.357241363774712717e-01
3.931688487318864278e-02 1.844850126852464189e-01 1.844850126852466410e-01 6.310299746295069401e-01
3.931688487318864278e-02 6.310299746295069401e-01 1.844850126852464745e-01 1.844850126852465855e-01
3.931688487318864278e-02 1.844850126852466410e-01 6.310299746295071621e-01 1.844850126852461969e-01
3.762366398427199887e-02 4.282348209437188413e-01 1.435303581125623451e-01 4.282348209437188968e-01
3.762366398427199887e-02 4.282348209437188413e-01 4.282348209437188968e-01 1.435303581125623174e-01
3.762366398427199887e-02 1.435303581125622618e-01 4.282348209437190079e-01 4.282348209437187858e-01
