# Integration weights for the "Symmetric family 1, k=30" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
7.789980101449599757e-03 3.333333333333299842e-01 3.333333333333299842e-01 3.333333333333400872e-01
1.588616850267066984e-03 7.330116432769999760e-03 4.963349417836199762e-01 4.963349417836099842e-01
1.588616850267066984e-03 4.963349417836199762e-01 4.963349417836199762e-01 7.330116432759992140e-03
1.588616850267066984e-03 4.963349417836199762e-01 7.330116432769999760e-03 4.963349417836099842e-01
5.241713317865385330e-03 8.299567580295999503e-02 4.585021620985200164e-01 4.585021620985200164e-01
5.241713317865385330e-03 4.585021620985200164e-01 4.585021620985200164e-01 8.299567580295996727e-02
5.241713317865385330e-03 4.585021620985200164e-01 8.299567580295999503e-02 4.585021620985200164e-01
6.604729788871815249e-03 1.509809561254099874e-01 4.245095219372900242e-01 4.245095219373000162e-01
6.604729788871815249e-03 4.245095219372900242e-01 4.245095219372900242e-01 1.509809561254198962e-01
6.604729788871815249e-03 4.245095219372900242e-01 1.509809561254099874e-01 4.245095219372999606e-01
7.487503483135749677e-03 2.359058598921700001e-01 3.820470700539200237e-01 3.820470700539100317e-01
7.487503483135749677e-03 3.820470700539200237e-01 3.820470700539200237e-01 2.359058598921599526e-01
7.487503483135749677e-03 3.820470700539200237e-01 2.359058598921700001e-01 3.820470700539099762e-01
7.493952221692095142e-03 4.380243084078500049e-01 2.809878457960799936e-01 2.809878457960700016e-01
7.493952221692095142e-03 2.809878457960799936e-01 2.809878457960799936e-01 4.380243084078400684e-01
7.493952221692095142e-03 2.809878457960799936e-01 4.380243084078500049e-01 2.809878457960700571e-01
6.669432370510829794e-03 5.453020482919299639e-01 2.273489758540299943e-01 2.273489758540400418e-01
6.669432370510829794e-03 2.273489758540299943e-01 2.273489758540299943e-01 5.453020482919399559e-01
6.669432370510829794e-03 2.273489758540299943e-01 5.453020482919299639e-01 2.273489758540400141e-01
5.444585556951005330e-03 6.508817769825400168e-01 1.745591115087299916e-01 1.745591115087299916e-01
5.444585556951005330e-03 1.745591115087299916e-01 1.745591115087299916e-01 6.508817769825401278e-01
5.444585556951005330e-03 1.745591115087299916e-01 6.508817769825400168e-01 1.745591115087300471e-01
4.094720330446730353e-03 7.534831455971300329e-01 1.232584272014399934e-01 1.232584272014299737e-01
4.094720330446730353e-03 1.232584272014399934e-01 1.232584272014399934e-01 7.534831455971200409e-01
4.094720330446730353e-03 1.232584272014399934e-01 7.534831455971300329e-01 1.232584272014299875e-01
2.787693794303892567e-03 8.398315422156099608e-01 8.008422889220000174e-02 8.008422889219003749e-02
2.787693794303892567e-03 8.008422889220000174e-02 8.008422889220000174e-02 8.398315422155999688e-01
2.787693794303892567e-03 8.008422889220000174e-02 8.398315422156099608e-01 8.008422889219002361e-02
1.595608236705988022e-03 9.044510651842000426e-01 4.777446740789999952e-02 4.777446740789995788e-02
1.595608236705988022e-03 4.777446740789999952e-02 4.777446740789999952e-02 9.044510651841999316e-01
1.595608236705988022e-03 4.777446740789999952e-02 9.044510651842000426e-01 4.777446740789992319e-02
6.483575721635225202e-04 9.565589706397199521e-01 2.172051468013999967e-02 2.172051468014004824e-02
6.483575721635225202e-04 2.172051468013999967e-02 2.172051468013999967e-02 9.565589706397199521e-01
6.483575721635225202e-04 2.172051468013999967e-02 9.565589706397199521e-01 2.172051468014002396e-02
1.491314130674585938e-04 9.904706447691300486e-01 4.764677615440000326e-03 4.764677615429951073e-03
1.491314130674585938e-04 4.764677615440000326e-03 4.764677615440000326e-03 9.904706447691200566e-01
1.491314130674585938e-04 4.764677615440000326e-03 9.904706447691300486e-01 4.764677615429979696e-03
4.994528425394482041e-04 9.253711933499999924e-04 4.152952709133099773e-01 5.837793578933400118e-01
4.994528425394482041e-04 4.152952709133099773e-01 5.837793578933400118e-01 9.253711933500108344e-04
4.994528425394482041e-04 5.837793578933400118e-01 9.253711933499999924e-04 4.152952709133099773e-01
4.994528425394482041e-04 4.152952709133099773e-01 9.253711933499999924e-04 5.837793578933400118e-01
4.994528425394482041e-04 5.837793578933400118e-01 4.152952709133099773e-01 9.253711933500108344e-04
4.994528425394482041e-04 9.253711933499999924e-04 5.837793578933400118e-01 4.152952709133099773e-01
2.314254245866266546e-04 1.385925855560000107e-03 6.118990978535000097e-02 9.374241643590900397e-01
2.314254245866266546e-04 6.118990978535000097e-02 9.374241643590900397e-01 1.385925855559966280e-03
2.314254245866266546e-04 9.374241643590900397e-01 1.385925855560000107e-03 6.118990978534995934e-02
2.314254245866266546e-04 6.118990978535000097e-02 1.385925855560000107e-03 9.374241643590900397e-01
2.314254245866266546e-04 9.374241643590900397e-01 6.118990978535000097e-02 1.385925855559959341e-03
2.314254245866266546e-04 1.385925855560000107e-03 9.374241643590900397e-01 6.118990978534999403e-02
6.172256681912064672e-04 3.682415455909999937e-03 1.649086901369100078e-01 8.314088944071800213e-01
6.172256681912064672e-04 1.649086901369100078e-01 8.314088944071800213e-01 3.682415455909970881e-03
6.172256681912064672e-04 8.314088944071800213e-01 3.682415455909999937e-03 1.649086901369099800e-01
6.172256681912064672e-04 1.649086901369100078e-01 3.682415455909999937e-03 8.314088944071800213e-01
6.172256681912064672e-04 8.314088944071800213e-01 1.649086901369100078e-01 3.682415455909970881e-03
6.172256681912064672e-04 3.682415455909999937e-03 8.314088944071800213e-01 1.649086901369100078e-01
2.853599261216030751e-04 3.903223424160000028e-03 2.503506223199999936e-02 9.710617143438399212e-01
2.853599261216030751e-04 2.503506223199999936e-02 9.710617143438400323e-01 3.903223424159940613e-03
2.853599261216030751e-04 9.710617143438400323e-01 3.903223424160000028e-03 2.503506223199996814e-02
2.853599261216030751e-04 2.503506223199999936e-02 3.903223424160000028e-03 9.710617143438399212e-01
2.853599261216030751e-04 9.710617143438400323e-01 2.503506223199999936e-02 3.903223424159968369e-03
2.853599261216030751e-04 3.903223424160000028e-03 9.710617143438400323e-01 2.503506223199991609e-02
5.634730629388120301e-04 3.233248155009999826e-03 3.060644651510999736e-01 6.907022866938899996e-01
5.634730629388120301e-04 3.060644651510999736e-01 6.907022866938899996e-01 3.233248155010026714e-03
5.634730629388120301e-04 6.907022866938899996e-01 3.233248155009999826e-03 3.060644651510999736e-01
5.634730629388120301e-04 3.060644651510999736e-01 3.233248155009999826e-03 6.907022866938899996e-01
5.634730629388120301e-04 6.907022866938899996e-01 3.060644651510999736e-01 3.233248155010026714e-03
5.634730629388120301e-04 3.233248155009999826e-03 6.907022866938899996e-01 3.060644651510999736e-01
8.739334747036685410e-04 6.467432112239999802e-03 1.070732837302200008e-01 8.864592841575400506e-01
8.739334747036685410e-04 1.070732837302200008e-01 8.864592841575400506e-01 6.467432112239990261e-03
8.739334747036685410e-04 8.864592841575400506e-01 6.467432112239999802e-03 1.070732837302199453e-01
8.739334747036685410e-04 1.070732837302200008e-01 6.467432112239999802e-03 8.864592841575400506e-01
8.739334747036685410e-04 8.864592841575400506e-01 1.070732837302200008e-01 6.467432112239948627e-03
8.739334747036685410e-04 6.467432112239999802e-03 8.864592841575400506e-01 1.070732837302199592e-01
5.914094075158284709e-04 3.247475491329999790e-03 2.299575493455799924e-01 7.667949751630900312e-01
5.914094075158284709e-04 2.299575493455799924e-01 7.667949751630800392e-01 3.247475491339968379e-03
5.914094075158284709e-04 7.667949751630800392e-01 3.247475491329999790e-03 2.299575493455899566e-01
5.914094075158284709e-04 2.299575493455799924e-01 3.247475491329999790e-03 7.667949751630900312e-01
5.914094075158284709e-04 7.667949751630800392e-01 2.299575493455799924e-01 3.247475491339968379e-03
5.914094075158284709e-04 3.247475491329999790e-03 7.667949751630800392e-01 2.299575493455899844e-01
9.954196473375169149e-04 8.675090806750000022e-03 3.370366333057799868e-01 6.542882758874699611e-01
9.954196473375169149e-04 3.370366333057799868e-01 6.542882758874599691e-01 8.675090806760099582e-03
9.954196473375169149e-04 6.542882758874599691e-01 8.675090806750000022e-03 3.370366333057900343e-01
9.954196473375169149e-04 3.370366333057799868e-01 8.675090806750000022e-03 6.542882758874700722e-01
9.954196473375169149e-04 6.542882758874599691e-01 3.370366333057799868e-01 8.675090806760044071e-03
9.954196473375169149e-04 8.675090806750000022e-03 6.542882758874599691e-01 3.370366333057900343e-01
9.502063975179899768e-04 1.559702646730999967e-02 5.625657618206000160e-02 9.281463973506299814e-01
9.502063975179899768e-04 5.625657618206000160e-02 9.281463973506299814e-01 1.559702646730998232e-02
9.502063975179899768e-04 9.281463973506299814e-01 1.559702646730999967e-02 5.625657618206002242e-02
9.502063975179899768e-04 5.625657618206000160e-02 1.559702646730999967e-02 9.281463973506299814e-01
9.502063975179899768e-04 9.281463973506299814e-01 5.625657618206000160e-02 1.559702646731001702e-02
9.502063975179899768e-04 1.559702646730999967e-02 9.281463973506299814e-01 5.625657618206003630e-02
2.249182904408725606e-03 1.797672125369000062e-02 4.024513752123999866e-01 5.795719035339099712e-01
2.249182904408725606e-03 4.024513752123999866e-01 5.795719035339099712e-01 1.797672125369009777e-02
2.249182904408725606e-03 5.795719035339099712e-01 1.797672125369000062e-02 4.024513752124000421e-01
2.249182904408725606e-03 4.024513752123999866e-01 1.797672125369000062e-02 5.795719035339100822e-01
2.249182904408725606e-03 5.795719035339099712e-01 4.024513752123999866e-01 1.797672125369004226e-02
2.249182904408725606e-03 1.797672125369000062e-02 5.795719035339099712e-01 4.024513752124000421e-01
1.739359730137359427e-03 1.712424535389000038e-02 2.436547020108300043e-01 7.392210526352800404e-01
1.739359730137359427e-03 2.436547020108300043e-01 7.392210526352800404e-01 1.712424535389001079e-02
1.739359730137359427e-03 7.392210526352800404e-01 1.712424535389000038e-02 2.436547020108299488e-01
1.739359730137359427e-03 2.436547020108300043e-01 1.712424535389000038e-02 7.392210526352800404e-01
1.739359730137359427e-03 7.392210526352800404e-01 2.436547020108300043e-01 1.712424535388995528e-02
1.739359730137359427e-03 1.712424535389000038e-02 7.392210526352800404e-01 2.436547020108299488e-01
2.051199518361976684e-03 2.288340534657999983e-02 1.653895856145299881e-01 8.117270090388900572e-01
2.051199518361976684e-03 1.653895856145299881e-01 8.117270090388799542e-01 2.288340534659005776e-02
2.051199518361976684e-03 8.117270090388799542e-01 2.288340534657999983e-02 1.653895856145400356e-01
2.051199518361976684e-03 1.653895856145299881e-01 2.288340534657999983e-02 8.117270090388900572e-01
2.051199518361976684e-03 8.117270090388799542e-01 1.653895856145299881e-01 2.288340534659005776e-02
2.051199518361976684e-03 2.288340534657999983e-02 8.117270090388799542e-01 1.653895856145400911e-01
2.010880774872081042e-03 3.273759728777000250e-02 9.930187449584999826e-02 8.679605282163799229e-01
2.010880774872081042e-03 9.930187449584999826e-02 8.679605282163900259e-01 3.273759728775993416e-02
2.010880774872081042e-03 8.679605282163900259e-01 3.273759728777000250e-02 9.930187449583996462e-02
2.010880774872081042e-03 9.930187449584999826e-02 3.273759728777000250e-02 8.679605282163799229e-01
2.010880774872081042e-03 8.679605282163900259e-01 9.930187449584999826e-02 3.273759728775997579e-02
2.010880774872081042e-03 3.273759728777000250e-02 8.679605282163900259e-01 9.930187449583993686e-02
3.016582330397532975e-03 3.382101234234000109e-02 3.084783330690499814e-01 6.577006545886099342e-01
3.016582330397532975e-03 3.084783330690499814e-01 6.577006545886000533e-01 3.382101234235002085e-02
3.016582330397532975e-03 6.577006545886000533e-01 3.382101234234000109e-02 3.084783330690599179e-01
3.016582330397532975e-03 3.084783330690499814e-01 3.382101234234000109e-02 6.577006545886100453e-01
3.016582330397532975e-03 6.577006545886000533e-01 3.084783330690499814e-01 3.382101234234996534e-02
3.016582330397532975e-03 3.382101234234000109e-02 6.577006545886000533e-01 3.084783330690599179e-01
1.973145151064799058e-03 3.554761446001999947e-02 4.606683185921099932e-01 5.037840669478700351e-01
1.973145151064799058e-03 4.606683185921099932e-01 5.037840669478700351e-01 3.554761446001997172e-02
1.973145151064799058e-03 5.037840669478700351e-01 3.554761446001999947e-02 4.606683185921099932e-01
1.973145151064799058e-03 4.606683185921099932e-01 3.554761446001999947e-02 5.037840669478700351e-01
1.973145151064799058e-03 5.037840669478700351e-01 4.606683185921099932e-01 3.554761446001997172e-02
1.973145151064799058e-03 3.554761446001999947e-02 5.037840669478700351e-01 4.606683185921099932e-01
3.322022268840134178e-03 5.053979030687000273e-02 2.188152994539299956e-01 7.306449102391999739e-01
3.322022268840134178e-03 2.188152994539299956e-01 7.306449102391999739e-01 5.053979030687005825e-02
3.322022268840134178e-03 7.306449102391999739e-01 5.053979030687000273e-02 2.188152994539300233e-01
3.322022268840134178e-03 2.188152994539299956e-01 5.053979030687000273e-02 7.306449102392000849e-01
3.322022268840134178e-03 7.306449102391999739e-01 2.188152994539299956e-01 5.053979030687003049e-02
3.322022268840134178e-03 5.053979030687000273e-02 7.306449102391999739e-01 2.188152994539299678e-01
4.127152928039229049e-03 5.701471491572999983e-02 3.792095515602699751e-01 5.637757335240001222e-01
4.127152928039229049e-03 3.792095515602699751e-01 5.637757335239900192e-01 5.701471491573995021e-02
4.127152928039229049e-03 5.637757335239900192e-01 5.701471491572999983e-02 3.792095515602799671e-01
4.127152928039229049e-03 3.792095515602699751e-01 5.701471491572999983e-02 5.637757335240000112e-01
4.127152928039229049e-03 5.637757335239900192e-01 3.792095515602699751e-01 5.701471491574000572e-02
4.127152928039229049e-03 5.701471491572999983e-02 5.637757335239900192e-01 3.792095515602800226e-01
3.248028316703205354e-03 6.415280642119999821e-02 1.429608194181899994e-01 7.928863741606100302e-01
3.248028316703205354e-03 1.429608194181899994e-01 7.928863741606100302e-01 6.415280642120002597e-02
