# Integration weights for the "Symmetric family 2, k=30" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
2.107379231956216323e-03 2.590538845210673680e-01 4.783512314077257438e-02 6.931109923381600924e-01
2.107379231956216323e-03 6.931109923381602034e-01 2.590538845210673125e-01 4.783512314077248417e-02
2.107379231956216323e-03 4.783512314077259520e-02 6.931109923381603144e-01 2.590538845210671459e-01
2.107379231956216323e-03 6.931109923381600924e-01 4.783512314077257438e-02 2.590538845210673125e-01
2.107379231956216323e-03 2.590538845210673680e-01 6.931109923381602034e-01 4.783512314077242866e-02
2.107379231956216323e-03 4.783512314077242866e-02 2.590538845210675900e-01 6.931109923381599813e-01
8.586495068552469126e-05 3.318724936644355285e-03 3.318724936644671438e-03 9.933625501267110414e-01
8.586495068552469126e-05 9.933625501267108193e-01 3.318724936644350948e-03 3.318724936644829732e-03
8.586495068552469126e-05 3.318724936644756873e-03 9.933625501267111524e-01 3.318724936644090739e-03
2.962461372546006198e-03 3.915721882912563401e-01 7.965952693160065212e-02 5.287682847771429939e-01
2.962461372546006198e-03 5.287682847771429939e-01 3.915721882912563956e-01 7.965952693160061049e-02
2.962461372546006198e-03 7.965952693160061049e-02 5.287682847771432160e-01 3.915721882912561735e-01
2.962461372546006198e-03 5.287682847771429939e-01 7.965952693160065212e-02 3.915721882912563401e-01
2.962461372546006198e-03 3.915721882912563956e-01 5.287682847771431049e-01 7.965952693160049947e-02
2.962461372546006198e-03 7.965952693160049947e-02 3.915721882912566176e-01 5.287682847771428829e-01
2.972110092212242646e-03 3.561402832962335396e-01 5.769340127387424799e-02 5.861663154298922818e-01
2.972110092212242646e-03 5.861663154298921707e-01 3.561402832962335396e-01 5.769340127387428963e-02
2.972110092212242646e-03 5.769340127387423411e-02 5.861663154298923928e-01 3.561402832962333731e-01
2.972110092212242646e-03 5.861663154298921707e-01 5.769340127387424799e-02 3.561402832962335951e-01
2.972110092212242646e-03 3.561402832962335396e-01 5.861663154298922818e-01 5.769340127387423411e-02
2.972110092212242646e-03 5.769340127387412309e-02 3.561402832962338172e-01 5.861663154298920597e-01
1.900966334207758067e-03 7.237240722467783161e-02 7.237240722467812304e-02 8.552551855506440592e-01
1.900966334207758067e-03 8.552551855506439482e-01 7.237240722467783161e-02 7.237240722467822018e-02
1.900966334207758067e-03 7.237240722467824794e-02 8.552551855506441703e-01 7.237240722467752629e-02
3.438592193767961609e-03 2.830124973495887764e-01 7.726143757688412605e-02 6.397260650735271392e-01
3.438592193767961609e-03 6.397260650735270282e-01 2.830124973495887764e-01 7.726143757688419544e-02
3.438592193767961609e-03 7.726143757688408442e-02 6.397260650735273613e-01 2.830124973495885543e-01
3.438592193767961609e-03 6.397260650735271392e-01 7.726143757688412605e-02 2.830124973495887208e-01
3.438592193767961609e-03 2.830124973495887208e-01 6.397260650735273613e-01 7.726143757688397340e-02
3.438592193767961609e-03 7.726143757688391789e-02 2.830124973495889984e-01 6.397260650735271392e-01
1.422216833843747107e-03 4.715791024217176608e-02 4.715791024217205057e-02 9.056841795156561625e-01
1.422216833843747107e-03 9.056841795156561625e-01 4.715791024217173139e-02 4.715791024217210609e-02
