# Integration weights for the "Symmetric family 1, k=10" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
4.176169990259818998e-02 3.333333333333299842e-01 3.333333333333299842e-01 3.333333333333400872e-01
3.614925296028371690e-03 4.269134091049999954e-03 4.978654329544699997e-01 4.978654329544799917e-01
3.614925296028371690e-03 4.978654329544699997e-01 4.978654329544699997e-01 4.269134091059945124e-03
3.614925296028371690e-03 4.978654329544699997e-01 4.269134091049999954e-03 4.978654329544799362e-01
3.724608896049025342e-02 1.439751005418899998e-01 4.280124497290599961e-01 4.280124497290500041e-01
3.724608896049025342e-02 4.280124497290599961e-01 4.280124497290599961e-01 1.439751005418799523e-01
3.724608896049025342e-02 4.280124497290599961e-01 1.439751005418899998e-01 4.280124497290499486e-01
3.932323670155426359e-02 6.304871745135499639e-01 1.847564127432199943e-01 1.847564127432300418e-01
3.932323670155426359e-02 1.847564127432199943e-01 1.847564127432199943e-01 6.304871745135600669e-01
3.932323670155426359e-02 1.847564127432199943e-01 6.304871745135499639e-01 1.847564127432300696e-01
3.464161543553751811e-03 9.590375628566399913e-01 2.048121857168000090e-02 2.048121857168000784e-02
3.464161543553751811e-03 2.048121857168000090e-02 2.048121857168000090e-02 9.590375628566401023e-01
3.464161543553751811e-03 2.048121857168000090e-02 9.590375628566399913e-01 2.048121857168005988e-02
1.475916016738969966e-02 3.500298989726999960e-02 1.365735762560300048e-01 8.284234338467000303e-01
1.475916016738969966e-02 1.365735762560300048e-01 8.284234338466900383e-01 3.500298989727990140e-02
1.475916016738969966e-02 8.284234338466900383e-01 3.500298989726999960e-02 1.365735762560399691e-01
1.475916016738969966e-02 1.365735762560300048e-01 3.500298989726999960e-02 8.284234338466999192e-01
1.475916016738969966e-02 8.284234338466900383e-01 1.365735762560300048e-01 3.500298989727995691e-02
1.475916016738969966e-02 3.500298989726999960e-02 8.284234338466900383e-01 1.365735762560399413e-01
1.978968359803062044e-02 3.754907025844000240e-02 3.327436005886399983e-01 6.297073291529200478e-01
1.978968359803062044e-02 3.327436005886399983e-01 6.297073291529200478e-01 3.754907025844000934e-02
1.978968359803062044e-02 6.297073291529200478e-01 3.754907025844000240e-02 3.327436005886399428e-01
1.978968359803062044e-02 3.327436005886399983e-01 3.754907025844000240e-02 6.297073291529200478e-01
1.978968359803062044e-02 6.297073291529200478e-01 3.327436005886399983e-01 3.754907025843995383e-02
1.978968359803062044e-02 3.754907025844000240e-02 6.297073291529200478e-01 3.327436005886399428e-01
