# Integration weights for the "Symmetric family 2, k=40" formula over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
1.887761839267846199e-04 1.671778383557104564e-01 1.527949049013241616e-03 8.312942125952763606e-01
1.887761839267846199e-04 8.312942125952762495e-01 1.671778383557104841e-01 1.527949049013266336e-03
1.887761839267846199e-04 1.527949049013321847e-03 8.312942125952764716e-01 1.671778383557102066e-01
1.887761839267846199e-04 8.312942125952763606e-01 1.527949049013241616e-03 1.671778383557104009e-01
1.887761839267846199e-04 1.671778383557105396e-01 8.312942125952764716e-01 1.527949049012988780e-03
1.887761839267846199e-04 1.527949049013030414e-03 1.671778383557107894e-01 8.312942125952762495e-01
7.758424849275167645e-04 3.714780994452374641e-01 1.497182247214108412e-02 6.135500780826214084e-01
7.758424849275167645e-04 6.135500780826215195e-01 3.714780994452374641e-01 1.497182247214101647e-02
7.758424849275167645e-04 1.497182247214107198e-02 6.135500780826216305e-01 3.714780994452372420e-01
7.758424849275167645e-04 6.135500780826214084e-01 1.497182247214108412e-02 3.714780994452375196e-01
7.758424849275167645e-04 3.714780994452374641e-01 6.135500780826215195e-01 1.497182247214101647e-02
7.758424849275167645e-04 1.497182247214098871e-02 3.714780994452377416e-01 6.135500780826212974e-01
4.322072803732963475e-04 1.590238847123736365e-01 6.804258799127780970e-03 8.341718564884985643e-01
4.322072803732963475e-04 8.341718564884985643e-01 1.590238847123736088e-01 6.804258799127826940e-03
4.322072803732963475e-04 6.804258799127882451e-03 8.341718564884986753e-01 1.590238847123733867e-01
4.322072803732963475e-04 8.341718564884985643e-01 6.804258799127780970e-03 1.590238847123736643e-01
4.322072803732963475e-04 1.590238847123737753e-01 8.341718564884986753e-01 6.804258799127604895e-03
4.322072803732963475e-04 6.804258799127577140e-03 1.590238847123738863e-01 8.341718564884985643e-01
4.985924659365827865e-04 4.621793292826653632e-02 3.531397470155461099e-02 9.184680923701787902e-01
4.985924659365827865e-04 9.184680923701787902e-01 4.621793292826652244e-02 3.531397470155468732e-02
4.985924659365827865e-04 3.531397470155472895e-02 9.184680923701790123e-01 4.621793292826625876e-02
4.985924659365827865e-04 9.184680923701789013e-01 3.531397470155461099e-02 4.621793292826648775e-02
4.985924659365827865e-04 4.621793292826653632e-02 9.184680923701790123e-01 3.531397470155439589e-02
4.985924659365827865e-04 3.531397470155442364e-02 4.621793292826687632e-02 9.184680923701786792e-01
2.045385156490231676e-04 1.148651673800806516e-01 1.583986447604656365e-03 8.835508461723147189e-01
2.045385156490231676e-04 8.835508461723146079e-01 1.148651673800806100e-01 1.583986447604782133e-03
