# Integration weights for the "Symmetric family 1, k=20" formula over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
6.399665939324130325e-03 4.967081636276000217e-02 1.990107941494999866e-01 7.513183894877399904e-01
6.399665939324130325e-03 1.990107941494999866e-01 7.513183894877299984e-01 4.967081636277004275e-02
6.399665939324130325e-03 7.513183894877299984e-01 4.967081636276000217e-02 1.990107941495100063e-01
6.399665939324130325e-03 1.990107941494999866e-01 4.967081636276000217e-02 7.513183894877399904e-01
6.399665939324130325e-03 7.513183894877299984e-01 1.990107941494999866e-01 4.967081636277001500e-02
6.399665939324130325e-03 4.967081636276000217e-02 7.513183894877299984e-01 1.990107941495099508e-01
8.629035587848275443e-03 5.851972508433000292e-02 3.242611836922800195e-01 6.172190912233899152e-01
8.629035587848275443e-03 3.242611836922800195e-01 6.172190912233900262e-01 5.851972508433000986e-02
8.629035587848275443e-03 6.172190912233900262e-01 5.851972508433000292e-02 3.242611836922799640e-01
8.629035587848275443e-03 3.242611836922800195e-01 5.851972508433000292e-02 6.172190912233900262e-01
8.629035587848275443e-03 6.172190912233900262e-01 3.242611836922800195e-01 5.851972508432995435e-02
8.629035587848275443e-03 5.851972508433000292e-02 6.172190912233900262e-01 3.242611836922799640e-01
9.336472951467734635e-03 1.214977870043899982e-01 2.085313632101299941e-01 6.699708497854800493e-01
9.336472951467734635e-03 2.085313632101299941e-01 6.699708497854699463e-01 1.214977870044000596e-01
9.336472951467734635e-03 6.699708497854699463e-01 1.214977870043899982e-01 2.085313632101400416e-01
9.336472951467734635e-03 2.085313632101299941e-01 1.214977870043899982e-01 6.699708497854800493e-01
9.336472951467734635e-03 6.699708497854699463e-01 2.085313632101299941e-01 1.214977870044000596e-01
9.336472951467734635e-03 1.214977870043899982e-01 6.699708497854699463e-01 2.085313632101400971e-01
1.140911202919762946e-02 1.407108449439400111e-01 3.231705665362599733e-01 5.361185885197999879e-01
1.140911202919762946e-02 3.231705665362599733e-01 5.361185885197999879e-01 1.407108449439400388e-01
1.140911202919762946e-02 5.361185885197999879e-01 1.407108449439400111e-01 3.231705665362599733e-01
1.140911202919762946e-02 3.231705665362599733e-01 1.407108449439400111e-01 5.361185885197999879e-01
1.140911202919762946e-02 5.361185885197999879e-01 3.231705665362599733e-01 1.407108449439400388e-01
1.140911202919762946e-02 1.407108449439400111e-01 5.361185885197999879e-01 3.231705665362599733e-01
