# Integration weights for the "1d Gauss, m=10" formula over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
1.273876383982712468e-02 4.899308847581596571e-01 3.629576655987700740e-01 1.471114496430702689e-01
1.369708881881160148e-02 4.244173444193795053e-01 3.144229795721642517e-01 2.611596760084562430e-01
1.249433714277297693e-02 3.477413728774553792e-01 2.576187802367578272e-01 3.946398468857868491e-01
9.760141972959199275e-03 2.661144721571175875e-01 1.971467621272218751e-01 5.367387657156605929e-01
6.413157371068992432e-03 1.861495461922789696e-01 1.379059921310559211e-01 6.759444616766651093e-01
3.365221741216310822e-03 1.143251052685719804e-01 8.469597369452924740e-02 8.009789210368988277e-01
1.244056475748031142e-03 5.646086196587618566e-02 4.182815024397695813e-02 9.017109877901468007e-01
2.215161821326679678e-04 1.724979223739286915e-02 1.277923992409352172e-02 9.699709678385135536e-01
4.447566886557331040e-03 4.204911372039713546e-01 5.675912493636130485e-01 1.191761343241559690e-02
9.499205747723764998e-03 3.992919552679488060e-01 5.389759728549030626e-01 6.173207187714813138e-02
1.273876383982712468e-02 3.629576655987701295e-01 4.899308847581596016e-01 1.471114496430702689e-01
1.369708881881160148e-02 3.144229795721642517e-01 4.244173444193795053e-01 2.611596760084562430e-01
1.249433714277297693e-02 2.576187802367577162e-01 3.477413728774553792e-01 3.946398468857868491e-01
9.760141972959199275e-03 1.971467621272219306e-01 2.661144721571174765e-01 5.367387657156605929e-01
6.413157371068992432e-03 1.379059921310559211e-01 1.861495461922789696e-01 6.759444616766651093e-01
3.365221741216310822e-03 8.469597369452930291e-02 1.143251052685719249e-01 8.009789210368988277e-01
1.244056475748031142e-03 4.182815024397690262e-02 5.646086196587629669e-02 9.017109877901468007e-01
2.215161821326679678e-04 1.277923992409346621e-02 1.724979223739298018e-02 9.699709678385135536e-01
4.052397889245803846e-03 2.799260156044797165e-01 7.081563709631046866e-01 1.191761343241559690e-02
8.655195594232955453e-03 2.658134648076083684e-01 6.724544633152435003e-01 6.173207187714813138e-02
1.160691699817807156e-02 2.416252904633331977e-01 6.112632598935965333e-01 1.471114496430702689e-01
1.248009422543598125e-02 2.093151652883241676e-01 5.295251587032195895e-01 2.611596760084562430e-01
1.138420776041228211e-02 1.714999254825688157e-01 4.338602276316443906e-01 3.946398468857868491e-01
8.892947478654943810e-03 1.312429745334384723e-01 3.320182597509009903e-01 5.367387657156605929e-01
5.843344475036743764e-03 9.180568028596403085e-02 2.322498580373709154e-01 6.759444616766651093e-01
3.066219762128197159e-03 5.638313000292993760e-02 1.426379489601711792e-01 8.009789210368988277e-01
1.133521308394809220e-03 2.784550351229475584e-02 7.044350869755844347e-02 9.017109877901468007e-01
2.018343358975454205e-04 8.507293966269591223e-03 2.152173819521691067e-02 9.699709678385135536e-01
3.297195863259236390e-03 1.583848794329160148e-01 8.296975071346683883e-01 1.191761343241559690e-02
7.042219418961271661e-03 1.503998600640424899e-01 7.878680680588093788e-01 6.173207187714813138e-02
9.443860094080883810e-03 1.367139542758736837e-01 7.161745960810560474e-01 1.471114496430702689e-01
1.015431262620940245e-02 1.184325692132688346e-01 6.204077547782749225e-01 2.611596760084562430e-01
9.262654793530387606e-03 9.703633641072711979e-02 5.083238167034860311e-01 3.946398468857868491e-01
7.235664029096571664e-03 7.425855954477156295e-02 3.890026747395677886e-01 5.367387657156605929e-01
4.754382900509210308e-03 5.194455246308493646e-02 2.721109858602498988e-01 6.759444616766651093e-01
2.494801199645867162e-03 3.190212681118731464e-02 1.671189521519138577e-01 8.009789210368988277e-01
9.222790730579375450e-04 1.575525842790959086e-02 8.253375378194360845e-02 9.017109877901468007e-01
1.642206307409059800e-04 4.813510192106740249e-03 2.521552196937976165e-02 9.699709678385135536e-01
2.249206041484480469e-03 6.666425533867148534e-02 9.214181312289129178e-01 1.191761343241559690e-02
4.803900987225542471e-03 6.330335768229966575e-02 8.749645704405522029e-01 6.173207187714813138e-02
6.442197570132904630e-03 5.754295478733834068e-02 7.953455955695913904e-01 1.471114496430702689e-01
6.926837911114000143e-03 4.984831293691938114e-02 6.889920110546243759e-01 2.611596760084562430e-01
6.318587061794977630e-03 4.084263050093633884e-02 5.645175226132768120e-01 3.946398468857868491e-01
4.935860629252643295e-03 3.125545564891718531e-02 4.320057786354222218e-01 5.367387657156605929e-01
3.243236734133637163e-03 2.186348167356977346e-02 3.021920566497651173e-01 6.759444616766651093e-01
1.701846709524709299e-03 1.342761717660334586e-02 1.855934617864978264e-01 8.009789210368988277e-01
6.291393502496105865e-04 6.631394199531404077e-03 9.165761801032179523e-02 9.017109877901468007e-01
1.120242927982216053e-04 2.026008250729516291e-03 2.800302391075693009e-02 9.699709678385135536e-01
1.003387331498112930e-03 1.289124978829303547e-02 9.751911367792913676e-01 1.191761343241559690e-02
2.143055506454208045e-03 1.224133371286295624e-02 9.260265944099889124e-01 6.173207187714813138e-02
2.873911642444734391e-03 1.112741153338464573e-02 8.417611388235450853e-01 1.471114496430702689e-01
3.090113257372111271e-03 9.639454462218477460e-03 7.292008695293252796e-01 2.611596760084562430e-01
2.818768086977286626e-03 7.897973946063119310e-03 5.974621791681500316e-01 3.946398468857868491e-01
2.201923671769836534e-03 6.044046902949240518e-03 4.572171873813902221e-01 5.367387657156605929e-01
1.446831722864843272e-03 4.227866974046201598e-03 3.198276713492886336e-01 6.759444616766651093e-01
7.592063141364386583e-04 2.596575424202662852e-03 1.964245035388985094e-01 8.009789210368988277e-01
2.806636840486048212e-04 1.282350768586515422e-03 9.700666144126668389e-02 9.017109877901468007e-01
4.997485963517337419e-05 3.917808471812778137e-04 2.963725131430516857e-02 9.699709678385135536e-01
