# Integration weights for the "1d Gauss, m=80" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
7.010047145593676110e-06 8.174694586210127234e-01 1.824088710209448294e-04 1.823481325079662763e-01
7.093928449791504148e-06 8.022616977708674213e-01 1.790154347791617084e-04 1.975592867943534170e-01
7.155080566093968484e-06 7.865991102042195759e-01 1.755205092071054906e-04 2.132253692865733741e-01
7.193707914490047480e-06 7.705052539388859145e-01 1.719293510044628270e-04 2.293228167101095671e-01
7.210119537553579065e-06 7.540043356620866888e-01 1.682473616140267580e-04 2.458274169762993400e-01
7.204726427568689521e-06 7.371211743212230383e-01 1.644800790972511528e-04 2.627143455996797661e-01
7.178038288137955101e-06 7.198811637937745367e-01 1.606331698047469558e-04 2.799582030364207164e-01
7.130659750901106764e-06 7.023102346924572359e-01 1.567124198533775825e-04 2.975330528876893865e-01
7.063286071196793463e-06 6.844348153630895881e-01 1.527237264232761405e-04 3.154124609104871357e-01
6.976698329558580771e-06 6.662817921338275440e-01 1.486730888882181745e-04 3.335695347772842378e-01
6.871758168831734563e-06 6.478784688755550025e-01 1.445665997916734113e-04 3.519769645246533241e-01
6.749402099412639099e-06 6.292525259342544031e-01 1.404104356833024703e-04 3.706070636300623500e-01
6.610635407631038780e-06 6.104319784971260487e-01 1.362108478286105928e-04 3.894318106550452852e-01
6.456525704601409485e-06 5.914451344550808454e-01 1.319741528066353808e-04 4.084228913921125748e-01
6.288196154950485758e-06 5.723205518249596668e-01 1.277067230090467298e-04 4.275517414520312864e-01
6.106818426672690962e-06 5.530869957955864002e-01 1.234149770557024794e-04 4.467895892273578973e-01
5.913605404955974225e-06 5.337733954621664001e-01 1.191053701400934806e-04 4.661074991676933954e-01
5.709803714160126154e-06 5.144088003141833454e-01 1.147843843203877334e-04 4.854764153014962669e-01
5.496686093196385102e-06 4.950223365422053989e-01 1.104585187697848525e-04 5.048672049390248162e-01
5.275543670355505606e-06 4.756431632293282030e-01 1.061342800009468235e-04 5.242507024906708502e-01
5.047678184150641027e-06 4.563004284931442278e-01 1.018181720797706191e-04 5.435977533347760016e-01
4.814394196981232328e-06 4.370232256442063701e-01 9.751668684254699571e-05 5.628792576689510829e-01
4.576991348381788167e-06 4.178405494269276099e-01 9.323629413177103586e-05 5.820662142789406746e-01
4.336756694296636399e-06 3.987812524087348542e-01 8.898343206475978207e-05 6.011297641592003860e-01
4.094957178219115627e-06 3.798740015830717187e-01 8.476449735000946006e-05 6.200412339195782163e-01
3.852832279156550826e-06 3.611472352515240347e-01 8.058583566616928096e-05 6.387721789128097960e-01
3.611586880234475363e-06 3.426291202499192057e-01 7.645373211756512077e-05 6.572944260179631737e-01
3.372384400343342528e-06 3.243475095827422772e-01 7.237440178042842120e-05 6.755801160154772944e-01
3.136340229566583801e-06 3.063299005295823108e-01 6.835398035520690030e-05 6.936017454900624823e-01
2.904515507219402205e-06 2.886033932866294283e-01 6.439851493783566028e-05 7.113322081984327916e-01
2.677911279187125840e-06 2.711946502054252139e-01 6.051395492417954713e-05 7.287448358396506620e-01
2.457463068890315532e-06 2.541298556901803174e-01 5.670614306174659447e-05 7.458134381667579360e-01
2.244035893638227150e-06 2.374346768139760089e-01 5.298080666149562745e-05 7.625123423793624955e-01
2.038419755376036064e-06 2.211342247130909655e-01 4.934354898356030361e-05 7.788164317379254742e-01
1.841325631902625167e-06 2.052530168175228376e-01 4.579984080932408830e-05 7.947011833416678384e-01
1.653381991551617206e-06 1.898149399745163723e-01 4.235501221300230767e-05 8.101427050132705698e-01
1.475131851107716008e-06 1.748432145205762733e-01 3.901424454461066560e-05 8.251177712348791715e-01
1.307030393391978017e-06 1.603603593559839169e-01 3.578256263664369996e-05 8.396038580813793839e-01
1.149443157517194842e-06 1.463881580744381683e-01 3.266482724656460945e-05 8.535791770983152116e-01
1.002644811299346703e-06 1.329476261986689556e-01 2.966572774559805836e-05 8.670227080735853908e-01
8.668185117500342554e-07 1.200589795714332997e-01 2.678977506570534572e-05 8.799142306535010505e-01
7.420558559722269722e-07 1.077416039494301092e-01 2.404129491462292378e-05 8.922343547556552679e-01
6.283574211718798313e-07 9.601402584594975753e-02 2.142442126984445139e-05 9.039645497327803980e-01
5.256338888969534670e-07 8.489388466621894391e-02 1.894309016103878918e-05 9.150871722436200173e-01
4.337077450463481702e-07 7.439790617753649915e-02 1.660103375000776538e-05 9.255854927887134931e-01
3.523155436756963399e-07 6.454187735440797269e-02 1.440177471784265251e-05 9.354437208708741291e-01
2.811107191860159740e-07 5.534062263705608053e-02 1.234862096727296077e-05 9.446470287419765910e-01
2.196669281357212351e-07 4.680798164000132822e-02 1.044466064836768737e-05 9.531815736993503041e-01
1.674818986865677611e-07 3.895678834612459340e-02 8.692757516359783665e-06 9.610345188963590468e-01
1.239817625994374495e-07 3.179885182129948973e-02 7.095546627866600176e-06 9.681940526320726992e-01
8.852584175494736368e-08 2.534493848670527072e-02 5.655430385442805630e-06 9.746494060829092865e-01
6.041185840503311587e-08 1.960475599415500980e-02 4.374574939569608745e-06 9.803908694309053651e-01
3.888153578228343037e-08 1.458693877571071162e-02 3.254906964011983206e-06 9.854098063173253319e-01
2.312655332240237117e-08 1.029903542188970178e-02 2.298110839626943402e-06 9.896986664672706713e-01
1.229481862191828809e-08 6.747498340895496938e-03 1.505626346764987744e-06 9.932509960327577936e-01
5.497016444526438987e-09 3.937677447382492701e-03 8.786472571742365290e-07 9.960614439053603331e-01
1.813394204384827326e-09 1.873827243481063221e-03 4.181229137922848338e-07 9.981257546336050890e-01
3.007505794065157666e-10 5.592119400966710785e-04 1.247816876492890970e-07 9.994406632782156796e-01
7.528841183653606853e-07 9.986048395011812850e-01 1.174808872780541691e-03 2.203516260382287761e-04
1.749824671883579439e-06 9.976656404771695463e-01 1.173703951891869046e-03 1.160655570938640135e-03
2.741673701413051531e-06 9.959774322404815194e-01 1.171717858957865843e-03 2.850849900560559202e-03
3.723362814129137585e-06 9.935423783880273918e-01 1.168853139342673764e-03 5.288768472629934436e-03
4.691125658952588048e-06 9.903640954301824451e-01 1.165114047690596344e-03 8.470790522126903088e-03
5.641351818151261686e-06 9.864473528008992353e-01 1.160506195003296881e-03 1.239214100409752328e-02
6.570533636276635523e-06 9.817980379818858072e-01 1.155036507609730201e-03 1.704692551050451810e-02
7.475273830944899522e-06 9.764231424822247263e-01 1.148713210672391849e-03 2.242814430710277085e-02
8.352300425729751720e-06 9.703307499491018451e-01 1.141545814199562692e-03 2.852770423669859223e-02
9.198482543798424258e-06 9.635300235522139545e-01 1.133545098204236101e-03 3.533643134958180942e-02
1.001084580252939460e-05 9.560311920235852190e-01 1.124723096280311196e-03 4.284408488013446981e-02
1.078658693948393315e-05 9.478455341948976987e-01 1.115093077411699607e-03 5.103937272769060174e-02
1.152308750432622482e-05 9.389853619957369002e-01 1.104669525970547461e-03 5.990996847829260785e-02
1.221792651122851559e-05 9.294640019161978239e-01 1.093468119908846958e-03 6.944252996389332910e-02
1.286889196988050062e-05 9.192957749521241118e-01 1.081505707165308916e-03 7.962271934071052382e-02
1.347399122595651525e-05 9.084959750589847172e-01 1.068800280316917206e-03 9.043522466069831012e-02
1.403146005137612950e-05 8.970808461447346005e-01 1.055370949512690615e-03 1.018637829057527089e-01
1.453977043312557508e-05 8.850675576352184937e-01 1.041237913727177666e-03 1.138912044510543287e-01
1.499763701758246910e-05 8.724741786483066752e-01 1.026422430377926798e-03 1.264993989213153425e-01
1.540402217547375474e-05 8.593196508152952662e-01 1.010946783351007738e-03 1.396694024013537261e-01
1.575813966088591793e-05 8.456237597902662717e-01 9.948342494833783967e-04 1.533814059602503499e-01
1.605945684612785591e-05 8.314071054901545077e-01 9.781090635516132004e-04 1.676147854462938236e-01
1.630769552271402274e-05 8.166910711102135512e-01 9.607963818202280848e-04 1.823481325079662763e-01
1.650283126723839215e-05 8.014977909614424689e-01 9.429222442040585683e-04 1.975592867943534170e-01
1.664509137940568416e-05 7.858501171783252026e-01 9.245135351015343339e-04 2.132253692865733741e-01
1.673495140793473758e-05 7.697715853469326852e-01 9.055979429577476481e-04 2.293228167101095671e-01
1.677313028838946590e-05 7.532863791050821156e-01 8.862039186185444173e-04 2.458274169762993400e-01
1.676058412518578736e-05 7.364192937677828121e-01 8.663606325374217931e-04 2.627143455996797661e-01
1.669849865801775242e-05 7.191956990326787702e-01 8.460979309005134397e-04 2.799582030364207164e-01
1.658828046068997177e-05 7.016415008215757254e-01 8.254462907349435774e-04 2.975330528876893865e-01
1.643154692779876796e-05 6.837831023154443688e-01 8.044367740685509638e-04 3.154124609104871357e-01
1.623011511181975691e-05 6.656473642415062786e-01 7.831009812094835709e-04 3.335695347772842378e-01
1.598598947989533117e-05 6.472615644721303463e-01 7.614710032163296560e-04 3.519769645246533241e-01
1.570134866593206124e-05 6.286533569963073109e-01 7.395793736303390986e-04 3.706070636300623500e-01
1.537853129947667748e-05 6.098507303254131484e-01 7.174590195415664340e-04 3.894318106550452852e-01
1.502002099820391166e-05 5.908819653958239382e-01 6.951432120634870593e-04 4.084228913921125748e-01
1.462843061569010673e-05 5.717755930316785751e-01 6.726655162901939988e-04 4.275517414520312864e-01
1.420648584043776668e-05 5.525603510318308764e-01 6.500597408111707942e-04 4.467895892273578973e-01
1.375700824581698012e-05 5.332651409454465252e-01 6.273598868599683520e-04 4.661074991676933954e-01
1.328289789370585648e-05 5.139189846013305640e-01 6.046000971731690932e-04 4.854764153014962669e-01
1.278711559709370860e-05 4.945509804563387179e-01 5.818146046364658375e-04 5.048672049390248162e-01
1.227266494876801636e-05 4.751902598285340229e-01 5.590376807950714344e-04 5.242507024906708502e-01
1.174257422441391929e-05 4.558659430809178792e-01 5.363035843061192409e-04 5.435977533347760016e-01
1.119987826901299937e-05 4.366070958216384801e-01 5.136465094104925022e-04 5.628792576689510829e-01
1.064760047532965300e-05 4.174426851865581378e-01 4.911005345011876244e-04 5.820662142789406746e-01
1.008873496252240847e-05 3.984015362699331320e-01 4.686995708664265514e-04 6.011297641592003860e-01
9.526229061515681089e-06 3.795122887687381041e-01 4.464773116836240341e-04 6.200412339195782163e-01
8.962966211726988819e-06 3.608033539058481676e-01 4.244671813420364259e-04 6.387721789128097960e-01
8.401749371074243296e-06 3.423028716968680163e-01 4.027022851688100147e-04 6.572944260179631737e-01
7.845285037907143399e-06 3.240386686248868386e-01 3.812153596358114349e-04 6.755801160154772944e-01
7.296167979634791597e-06 3.060382157868166697e-01 3.600387231208479477e-04 6.936017454900624823e-01
6.756866758379541447e-06 2.883285875742697124e-01 3.392042272974959971e-04 7.113322081984327916e-01
6.229710139007466891e-06 2.709364209511218036e-01 3.187432092275344075e-04 7.287448358396506620e-01
5.716874459391912881e-06 2.538878753890151385e-01 2.986864442269254738e-04 7.458134381667579360e-01
5.220372036798116603e-06 2.372085935210608287e-01 2.790640995766757726e-04 7.625123423793624955e-01
4.742040677865137156e-06 2.209236625729257275e-01 2.599056891487427912e-04 7.788164317379254742e-01
4.283534352848347371e-06 2.050575766293180058e-01 2.412400290142113768e-04 7.947011833416678384e-01
3.846315087611131849e-06 1.896341997926280776e-01 2.230951941012970785e-04 8.101427050132705698e-01
3.431646119362135388e-06 1.746767302891525375e-01 2.054984759682354500e-04 8.251177712348791715e-01
3.040586354368147201e-06 1.602076655768664981e-01 1.884763417541179820e-04 8.396038580813793839e-01
2.673986157887664919e-06 1.462487685073144972e-01 1.720543943702912415e-04 8.535791770983152116e-01
2.332484498392637461e-06 1.328210345924235591e-01 1.562573339911055292e-04 8.670227080735853908e-01
2.016507459861671943e-06 1.199446604255958171e-01 1.411089209031324287e-04 8.799142306535010505e-01
1.726268127547259723e-06 1.076390133045769248e-01 1.266319397678072889e-04 8.922343547556552679e-01
1.461767844221963244e-06 9.592260210186753788e-02 1.128481653521196115e-04 9.039645497327803980e-01
1.222798825531388492e-06 8.481304942660172763e-02 9.977832977831058159e-05 9.150871722436200173e-01
1.008948114779011152e-06 7.432706511994413567e-02 8.744209134242675319e-05 9.255854927887134931e-01
8.196028492895580197e-07 6.448042112417651239e-02 7.585800494935845961e-05 9.354437208708741291e-01
6.539568024928701619e-07 5.528792776381497021e-02 6.504349420838329010e-05 9.446470287419765910e-01
5.110181580874183209e-07 4.676341147541585030e-02 5.501482523384559897e-05 9.531815736993503041e-01
3.896184651287787678e-07 3.891969402145023516e-02 4.578708219071803143e-05 9.610345188963590468e-01
2.884227156891410161e-07 3.176857322329873501e-02 3.737414462856580855e-05 9.681940526320726992e-01
2.059404798923621738e-07 2.532080525044555497e-02 2.978866664521406804e-05 9.746494060829092865e-01
1.405380266878587533e-07 1.958608851115961613e-02 2.304205793501878929e-05 9.803908694309053651e-01
9.045135272614343902e-08 1.457304921586954904e-02 1.714446680511905186e-05 9.854098063173253319e-01
5.380003618215444546e-08 1.028922876738880277e-02 1.210476534047044694e-05 9.896986664672706713e-01
2.860182740985797609e-08 6.741073429992305854e-03 7.930537249900559971e-06 9.932509960327577936e-01
1.278788410389461237e-08 3.933928024190902484e-03 4.628070448764454170e-06 9.960614439053603331e-01
4.218556585079507718e-09 1.872043001013956598e-03 2.202365381009929735e-06 9.981257546336050890e-01
6.996456336708308251e-10 5.586794632127523030e-04 6.572585716235757047e-07 9.994406632782156796e-01
1.181622553498441632e-06 9.968940548421807435e-01 2.885593531781138754e-03 2.203516260382287761e-04
2.746282258489963757e-06 9.959564648302809964e-01 2.882879598780252461e-03 1.160655570938640135e-03
