# Integration weights for the "1d Gauss, m=5" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
1.146508035159248332e-02 9.151475493787275539e-01 4.504259356980372386e-02 3.980985705146872222e-02
1.980408313204728293e-02 7.643653297812806890e-01 3.762125234511121130e-02 1.980134178736082107e-01
1.734150643136562683e-02 5.356605448081428467e-01 2.636464494447093854e-02 4.379748102473861593e-01
8.755499182163796121e-03 2.902499322507925417e-01 1.428579439557137176e-02 6.954642733536360311e-01
1.865552166877828318e-03 9.391279733377999595e-02 4.622288465046420214e-03 9.014649142011735838e-01
2.316122192949825187e-02 7.386115333961520424e-01 2.215786095523791799e-01 3.980985705146872222e-02
4.000728738616027291e-02 6.169158718590024293e-01 1.850707102673894155e-01 1.980134178736082107e-01
3.503250450337156569e-02 4.323292529703597342e-01 1.296959367822541065e-01 4.379748102473861593e-01
1.768745211048338914e-02 2.342594346380821868e-01 7.027629200828172662e-02 6.954642733536360311e-01
3.768701695327599053e-03 7.579660273506239054e-02 2.273848306376402562e-02 9.014649142011735838e-01
2.752898566446965525e-02 4.800950714742656111e-01 4.800950714742656666e-01 3.980985705146872222e-02
4.755189705795384580e-02 4.009932910631958669e-01 4.009932910631959224e-01 1.980134178736082107e-01
4.163896521519479255e-02 2.810125948763069204e-01 2.810125948763069204e-01 4.379748102473861593e-01
2.102296748732198836e-02 1.522678633231819845e-01 1.522678633231819845e-01 6.954642733536360311e-01
4.479406797281334715e-03 4.926754289941326359e-02 4.926754289941320808e-02 9.014649142011735838e-01
2.316122192949825187e-02 2.215786095523792354e-01 7.386115333961520424e-01 3.980985705146872222e-02
4.000728738616027291e-02 1.850707102673894711e-01 6.169158718590023183e-01 1.980134178736082107e-01
3.503250450337156569e-02 1.296959367822541065e-01 4.323292529703596787e-01 4.379748102473861593e-01
1.768745211048338914e-02 7.027629200828178213e-02 2.342594346380821868e-01 6.954642733536360311e-01
3.768701695327599053e-03 2.273848306376402562e-02 7.579660273506239054e-02 9.014649142011735838e-01
1.146508035159248332e-02 4.504259356980372386e-02 9.151475493787275539e-01 3.980985705146872222e-02
1.980408313204728640e-02 3.762125234511121130e-02 7.643653297812805780e-01 1.980134178736082107e-01
1.734150643136563030e-02 2.636464494447099405e-02 5.356605448081428467e-01 4.379748102473861593e-01
8.755499182163796121e-03 1.428579439557142727e-02 2.902499322507924862e-01 6.954642733536360311e-01
1.865552166877828535e-03 4.622288465046420214e-03 9.391279733377999595e-02 9.014649142011735838e-01
